Tag,Eng Units,Archive Zero,Archive Span,Observed Zero,Observed Span,Flag,Status,Snapshot Start Time,Snapshot Count,Scan Rate (Observed),Archive Exc Dev,Archive Exc Min,Archive Exc Max,Archive Comp Dev,Archive Comp Min,Archive Comp Max,Archive Fidelity(%),Archive Count,Archive Ratio(%),Archive Data Storage(MB),Recommended Exc Dev,Recommended Exc Min,Recommended Exc Max,Recommended Comp Dev,Recommended Comp Min,Recommended Fidelity(%),Recommended Count,Recommended Ratio(%),Recommended Data Storage(MB),Annual Data Storage Savings(MB),Fidelity Change(%)
P_2PBJI11087-PV,INT,0,64,-2.32,61.0575,Hard to Compress,-,9/26/2019 10:33:39 AM,107006,4 (4) s,0.32,0 s,10 m,0.64,0 s,8 h,94.6,49722,46.46655,,0.003802644,0 s,10 m,0.007605288,0 s,98.8,103059,96.31142,,,4.2
R_5RII6177,Amps,0,50,69.50121,32.10178,Hard to Compress,-,10/15/2019 11:45:42 AM,212854,3 (3) s,0,0 s,10 m,0.5,0 s,8 h,92.5,188031,88.33802,,0.02866457,0 s,10 m,0.05732914,0 s,99.6,211135,99.19241,,,7.1
P_2PAI5780A-PV,PPM,0,25,-0.341621,20.15702,Hard to Compress,-,9/26/2019 10:38:16 AM,67992,4 (4) s,0.125,0 s,10 m,0.25,0 s,8 h,43.5,300,0.4412284,,0.0006799639,0 s,10 m,0.001359928,0 s,96.7,64825,95.3421,,,53.2
R_5R_FEEDWTR_AVG,KPPH,0,1000,533.0217,526.2213,-,-,10/15/2019 11:47:31 AM,15623,2 (2) s,0.3,0 s,10 m,0.6,0 s,8 h,98,11384,72.86693,,1.250809,0 s,10 m,2.501618,0 s,85,5412,34.64123,,,-13
R_5RTI13932B-PV,DEGF,0,1000,539.169,72.26001,Check Signal,-,10/15/2019 11:47:32 AM,180289,2 (2) s,2.5,0 s,10 m,5,0 s,8 h,34.4,1323,0.7338218,,0.1545325,0 s,10 m,0.309065,0 s,86.1,112693,62.50687,,,51.7
R_5RTIC6465-VL,%,0,100,31.90615,18.42183,-,-,10/10/2019 9:17:55 AM,149712,3 (3) s,0,0 s,1 m,0.06,0 s,5 m,94.5,7118,4.754462,,0.02167652,0 s,1 m,0.04335304,0 s,90.8,7455,4.979561,,,-3.7
R_5ZFIC1450A-VL,%,0,100,0,58,Check Signal,-,10/10/2019 9:16:27 AM,35405,2 (2) s,0,0 s,1 m,0.0625,0 s,5 m,99.4,32704,92.37114,,0.068121,0 s,1 m,0.136242,0 s,94,29243,82.59567,,,-5.4
R_6ZFIC15134-ESP,,0,2500,428.2807,1714.533,-,-,10/16/2019 3:22:51 PM,998702,2 (2) s,0.0025,0 s,1 m,0.005,0 s,5 m,100,975688,97.69561,,0.3626686,0 s,1 m,0.7253371,0 s,93.8,110457,11.06006,,,-6.2
R_5ZPIC6158-VL,PSI,0,100,35.34749,47.2192,-,-,10/10/2019 9:17:09 AM,55144,3 (3) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,55081,99.88576,,0.1299239,0 s,1 m,0.2598478,0 s,85.1,23875,43.29573,,,-14.9
R_5RDIC6244-SP,BE,0,30,17.7,3.099998,Hard to Compress,-,10/10/2019 9:17:26 AM,3870,7 (7) s,3E-05,0 s,1 m,6E-05,0 s,5 m,99.6,3863,99.81912,,0.006,0 s,1 m,0.012,0 s,97.1,3862,99.79328,,,-2.5
R_6ZFX15152_E,KPPH,0,40000,232.7472,1674.955,-,-,10/24/2019 10:11:57 AM,996784,2 (2) s,0.04,0 s,1 m,0.08,0 s,5 m,100,995955,99.91683,,1.63564,0 s,1 m,3.271281,0 s,85.9,307659,30.86516,,,-14.1
R_6ZLI15329A-PV,PCT,0,100,-0.7287871,49.17578,-,-,10/15/2019 11:45:56 AM,513720,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,513299,99.91805,,0.03826133,0 s,1 m,0.07652266,0 s,94.5,14499,2.822355,,,-5.5
R_5ZTIC6193-VL,%,0,100,0,10.05335,Hard to Compress,-,10/10/2019 9:16:25 AM,131106,3 (3) s,0,0 s,1 m,0.0625,0 s,5 m,99,127275,97.07793,,0.006949964,0 s,1 m,0.01389993,0 s,99.7,129698,98.92606,,,0.7
R_5ZFIC1465A-VL,%,0,100,0,50,Check Signal,-,10/10/2019 9:23:10 AM,3776,2 (2) s,0,0 s,1 m,0.0625,0 s,5 m,77.7,3773,99.92056,,0.025,0 s,1 m,0.05,0 s,73.1,3773,99.92056,,,-4.6
R_5RTIC6269A-PV,,0,1000,768.8112,92.41437,-,-,10/10/2019 9:16:28 AM,59779,2 (2) s,0,0 s,1 m,0.5999999,0 s,5 m,87.2,18540,31.01424,,0.1768257,0 s,1 m,0.3536514,0 s,85.6,24391,40.80196,,,-1.6
