Tag,Eng Units,Archive Zero,Archive Span,Observed Zero,Observed Span,Flag,Status,Snapshot Start Time,Snapshot Count,Scan Rate (Observed),Archive Exc Dev,Archive Exc Min,Archive Exc Max,Archive Comp Dev,Archive Comp Min,Archive Comp Max,Archive Fidelity(%),Archive Count,Archive Ratio(%),Archive Data Storage(MB),Recommended Exc Dev,Recommended Exc Min,Recommended Exc Max,Recommended Comp Dev,Recommended Comp Min,Recommended Fidelity(%),Recommended Count,Recommended Ratio(%),Recommended Data Storage(MB),Annual Data Storage Savings(MB),Fidelity Change(%)
R_4R_TOTAL_AIR,KPPH,0,2000,0.05866289,423.5692,Hard to Compress,-,10/10/2019 9:15:36 AM,102303,7 (7) s,0,0 s,15 s,10,0 s,8 h,55.5,2721,2.659746,,0.1847914,0 s,15 s,0.3695828,0 s,96.2,91259,89.20461,,,40.7
P_5OFIC15409-PV,GPM,0,90,-0.07724962,99.39915,Check Signal,-,10/15/2019 11:46:03 AM,98698,4 (4) s,0,0 s,10 m,0.5,0 s,8 h,83.2,14257,14.44508,,0.05281916,0 s,10 m,0.1056383,0 s,85,59312,60.09443,,,1.8
R_6ZTI15153-PV,DEGF,32,392,165.0469,31.4189,-,-,10/23/2019 4:06:48 PM,997161,2 (2) s,0.000392,0 s,1 m,0.000784,0 s,5 m,100,995191,99.80244,,0.04828874,0 s,1 m,0.09657749,0 s,85.4,49178,4.931802,,,-14.6
R_6ZLI15072-PV,PCT,0,100,32.75443,14.4842,-,-,10/15/2019 11:45:27 AM,815248,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,814832,99.94897,,0.02796115,0 s,1 m,0.0559223,0 s,85,165023,20.24206,,,-15
5RDR06207B.PV,,50,75,62.10324,12.71251,-,-,9/25/2019 7:17:09 AM,120284,3 (3) s,0,0 s,18 h,0.045,0 s,8 h,92.1,11355,9.440158,,0.01886019,0 s,18 h,0.03772038,0 s,85.5,13512,11.23341,,,-6.6
R_5RTI2040J-PV,DEGF,500,350,647.1154,167.9906,-,-,10/10/2019 9:16:43 AM,131412,2 (2) s,1.75,0 s,10 m,3.5,0 s,8 h,65.9,4261,3.242474,,0.1459644,0 s,10 m,0.2919287,0 s,90.1,23841,18.14218,,,24.2
R_6ZLIC15094-VL,,0,100,10,71.58084,-,-,10/23/2019 10:03:26 AM,997587,2 (2) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,994757,99.71632,,0.01335405,0 s,1 m,0.02670811,0 s,94,66174,6.633406,,,-6
R_5ZII8116.PV,,-1000,1000,66.8224,21.83607,Hard to Compress,-,10/15/2019 11:46:09 AM,86368,5 (5) s,0,0 s,10 m,0,0 s,8 h,100,85778,99.31688,,0.01010918,0 s,10 m,0.02021836,0 s,100,84155,97.43771,,,0
R_4R_O2_BIAS, Bias,-2,4,0,0.4,-,-,10/17/2019 3:26:09 PM,2733,7 (7) s,0,0 s,10 m,0,0 s,8 h,98.9,64,2.341749,,0.000175,0 s,10 m,0.00035,0 s,98.6,64,2.341749,,,-0.3
P_2PLIC6955-VL,PCT,0,100,0,100,-,-,9/26/2019 10:33:15 AM,47523,4 (4) s,0.0001,0 s,1 m,0.0002,0 s,5 m,100,47450,99.84639,,0.09585106,0 s,1 m,0.1917021,0 s,86,22834,48.04831,,,-14
R_5ZTI6388-PV,DEGF,0,200,86.2717,39.3535,-,-,10/10/2019 9:18:29 AM,4640,7 (7) s,0,0 s,10 m,0.002,0 s,8 h,99.9,4603,99.20258,,0.1078352,0 s,10 m,0.2156704,0 s,85.7,2009,43.29741,,,-14.2
R_5ZLIC6197B-PV,%,0,100,66.89689,10.96213,Check Signal,Stale,10/10/2019 9:24:57 AM,10536,2 (2) s,0,0 s,1 m,0.0625,0 s,5 m,97.1,9087,86.24715,,0.02258997,0 s,1 m,0.04517994,0 s,89.7,9290,88.17388,,,-7.4
